Olive,,16_004_Gm,
Red,,16_005_Gm,
Olive,,16_006_Gm,
Red,,16_007_Gm,
Olive,,16_008_Gm,
Olive,,16_009_Gm,
Olive,,16_010_Gm,
Red,,16_011_Gm,
Red,,16_012_Gm,
Red,,16_013_Gm,
Olive,,16_014_Gm,
Red,,16_015_Gm,
Olive,,16_016_Gm,
Red,,16_017_Gm,
Red,,16_018_Gm,
Red,,16_019_Gm,
Red,,16_020_Gm,
Red,,16_021_Gm,
Olive,,16_022_Gm,
Red,,16_023_Gm,
Red,,16_024_Gm,
Red,,16_025_Gm,
Red,,16_026_Gm,
Red,,16_027_Gm,
Olive,,16_028_Gm,
Olive,,16_029_Gm,
Olive,,16_030_Gm,
Olive,,16_031_Gm,
Red,,16_032_Gm,
Olive,,16_033_Gm,
Olive,,16_034_Gm,
Olive,,16_035_Gm,
Red,,16_036_Gm,
Red,,16_037_Gm,
Olive,,16_038_Gm,
Olive,,16_039_Gm,
Olive,,16_040_Gm,
Olive,,16_041_Gm,
Olive,,16_042_Gm,
Olive,,16_043_Gm,
Olive,,16_044_Gm,
Olive,,16_045_Gm,
Olive,,16_046_Gm,
Olive,,16_047_Gm,
Olive,,16_048_Gm,
Olive,,16_049_Gm,
Olive,,16_050_Gm,
Olive,,16_051_Gm,
Olive,,16_052_Gm,
Red,,16_053_Gm,
Red,,16_054_Gm,
Red,,16_055_Gm,
Red,,16_056_Gm,
Red,,16_057_Gm,
Red,,16_058_Gm,
Red,,16_059_Gm,
Red,,16_060_Gm,
Olive,,16_061_Gm,
Olive,,16_062_Gm,
Red,,16_063_Gm,
Red,,16_064_Gm,
Olive,,16_065_Gm,
Olive,,16_066_Gm,
Red,,16_067_Gm,
Red,,16_068_Gm,
Red,,16_069_Gm,
Olive,,16_070_Gm,
Red,,16_071_Gm,
Olive,,16_072_Gm,
Red,,16_073_Gm,
Olive,,16_074_Gm,
Red,,16_075_Gm,
Red,,16_076_Gm,
Red,,16_077_Gm,
Olive,,16_078_Gm,
Olive,,16_079_Gm,
Olive,,16_080_Gm,
Olive,,16_081_Gm,
Red,,16_082_Gm,
Olive,,16_083_Gm,
Red,,16_084_Gm,
Olive,,16_085_Gm,
Red,,16_086_Gm,
Red,,16_087_Gm,
Red,,16_088_Gm,
Red,,16_089_Gm,
Olive,,16_090_Gm,
Olive,,16_091_Gm,
Red,,16_092_Gm,
Red,,16_093_Gm,
Red,,16_094_Gm,
Red,,16_095_Gm,
Red,,16_096_Gm,
Red,,16_097_Gm,
Red,,16_098_Gm,
Red,,16_099_Gm,
Red,,16_100_Gm,
Olive,,16_101_Gm,
Olive,,16_102_Gm,
Olive,,16_103_Gm,
Olive,,16_104_Gm,
Red,,16_105_Gm,
Olive,,16_106_Gm,
Red,,16_107_Gm,
Olive,,16_108_Gm,
Red,,16_109_Gm,
Red,,16_110_Gm,
Red,,16_111_Gm,
Red,,16_112_Gm,
Red,,16_113_Gm,
Olive,,16_114_Gm,
Olive,,16_115_Gm,
Olive,,16_116_Gm,
Olive,,16_117_Gm,
Red,,16_118_Gm,
Olive,,16_119_Gm,
Red,,16_120_Gm,
Red,,16_121_Gm,
Olive,,16_122_Gm,
Olive,,16_123_Gm,
Red,,16_124_Gm,
Olive,,16_125_Gm,
Red,,16_126_Gm,
Red,,16_127_Gm,
Olive,,16_128_Gm,
Olive,,16_129_Gm,
Red,,16_130_Gm,
Olive,,16_131_Gm,
Olive,,16_132_Gm,
Olive,,16_133_Gm,
Olive,,16_134_Gm,
Olive,,16_135_Gm,
Olive,,16_136_Gm,
Red,,16_137_Gm,
Olive,,16_138_Gm,
Olive,,16_139_Gm,
Olive,,16_140_Gm,
Red,,16_141_Gm,
Olive,,16_142_Gm,
Red,,16_143_Gm,
Olive,,16_144_Gm,
Olive,,16_145_Gm,
Red,,16_146_Gm,
Red,,16_147_Gm,
Olive,,16_148_Gm,
Olive,,16_149_Gm,
Olive,,16_150_Gm,
Olive,,16_151_Gm,
Olive,,16_152_Gm,
Olive,,16_153_Gm,
Olive,,16_154_Gm,
Olive,,16_155_Gm,
Olive,,16_156_Gm,
Olive,,16_157_Gm,
Olive,,16_158_Gm,
Olive,,16_159_Gm,
Olive,,16_160_Gm,
Olive,,16_161_Gm,
Olive,,16_162_Gm,
Olive,,16_163_Gm,
Olive,,16_164_Gm,
Red,,16_165_Gm,
Olive,,16_166_Gm,
Olive,,16_167_Gm,
Olive,,16_168_Gm,
Olive,,16_169_Gm,
Olive,,16_170_Gm,
Olive,,16_171_Gm,
Olive,,16_172_Gm,
Olive,,16_173_Gm,
Olive,,16_174_Gm,
Olive,,16_175_Gm,
Olive,,16_176_Gm,
Olive,,16_177_Gm,
Olive,,16_178_Gm,
Olive,,16_179_Gm,
Olive,,16_180_Gm,
Olive,,16_181_Gm,
Red,,16_182_Gm,
Red,,16_183_Gm,
Red,,16_184_Gm,
Red,,16_185_Gm,
Olive,,16_186_Gm,
Olive,,16_187_Gm,
Olive,,16_188_Gm,
Red,,16_189_Gm,
Olive,91,16_201_Gm,
Olive,106,16_202_Gm,
Olive,93,16_203_Gm,
Olive,115,16_204_Gm,
Olive,115,16_205_Gm,
Olive,118,16_206_Gm,
Olive,118,16_207_Gm,
Olive,74,16_208_Gm,
Olive,74,16_209_Gm,
Red,61,16_210_Gm,
Red,75,16_211_Gm,
Red,75,16_212_Gm,
Olive,60,16_213_Gm,
Red,67,16_214_Gm,
Brown,93,16_215_Gm,1.32
Brown,96,16_216_Gm,1.2
Brown,93,16_217_Gm,1.38
Red,60,16_218_Gm,1.7
Red,83,16_219_Gm,1.42
Olive,91,16_220_Gm,1.2
Olive,171,16_221_Gm,1.12
Olive,171,16_222_Gm,
Olive,171,16_223_Gm,1
Olive,171,16_224_Gm,1.02
Olive,190,16_225_Gm,1.01
Olive,190,16_226_Gm,1.01
Olive,190,16_227_Gm,1.01
Olive,190,16_228_Gm,0.94
Olive,190,16_229_Gm,1.07
Olive,190,16_230_Gm,1.05
Olive,190,16_231_Gm,1.11
Olive,190,16_232_Gm,1.15
Olive,190,16_233_Gm,1.08
Olive,190,16_234_Gm,1.09
Olive,190,16_235_Gm,1.09
Olive,190,16_236_Gm,1.1
Olive,190,16_237_Gm,1.11
Olive,190,16_238_Gm,1.09
Olive,190,16_239_Gm,1.18
Olive,190,16_240_Gm,1.15
Olive,190,16_241_Gm,1.12
Olive,190,16_242_Gm,1.05
Olive,190,16_243_Gm,1.1
Olive,190,16_244_Gm,1.09
Olive,190,16_245_Gm,1.06
Olive,190,16_246_Gm,1.1
Olive,190,16_247_Gm,1.08
Olive,190,16_248_Gm,1.06
Olive,190,16_249_Gm,1.13
Red,28.3,17_001_Gm,1.54
Olive,28.3,17_002_Gm,1.13
Red,16.8,17_003_Gm,1.71
Red,16.8,17_004_Gm,1.76
Red,16.8,17_005_Gm,1.57
Red,16.8,17_006_Gm,1.33
Red,16.8,17_007_Gm,1.74
Red,33.5,17_008_Gm,1.42
Brown,33.5,17_009_Gm,1.14
Red,25.3,17_010_Gm,1.7
Red,33.5,17_011_Gm,1.46
Red,25.3,17_012_Gm,1.38
Red,25.3,17_013_Gm,1.39
Brown,25.3,17_014_Gm,1.38
Red,25.3,17_015_Gm,1.39
Red,25.3,17_016_Gm,1.51
Red,25.3,17_017_Gm,1.22
Red,22.86,17_018_Gm,1.49
Red,22.86,17_019_Gm,1.3
Red,22.86,17_020_Gm,1.55
Olive,20.7,17_021_Gm,1.49
Red,20.7,17_022_Gm,1.4
Red,20.7,17_023_Gm,1.35
Red,18.6,17_024_Gm,1.33
Olive,18.6,17_025_Gm,1.26
Red,24.4,17_026_Gm,1.56
Red,24.4,17_027_Gm,1.38
Red,21.3,17_028_Gm,1.67
Red,27.4,17_029_Gm,1.38
Olive,103,17_030_Gm,1.15
Red,103,17_031_Gm,1.56
Olive,103,17_032_Gm,1.17
Olive,103,17_033_Gm,1.09
Olive,70,17_034_Gm,1.3
,,17_035_Gm,
,,17_036_Gm,
,,17_037_Gm,
,,17_038_Gm,
,,17_039_Gm,
,,17_040_Gm,
,,17_041_Gm,
,,17_042_Gm,
,,17_043_Gm,
,,17_044_Gm,
,,17_045_Gm,
,,17_046_Gm,
,,17_047_Gm,
,,17_048_Gm,
,,17_049_Gm,
,,17_050_Gm,
,,17_051_Gm,
