, ,Area,Mean,Min,Max,X,Y
17_009_Gm,8,0,81,81,81,2946,1886.75
17_009_Gm,9,0,131,131,131,2958,2066
17_009_Gm,10,0,154,154,154,2460,2209
17_009_Gm,11,0,83,83,83,1773.667,2398
17_009_Gm,12,0,207,207,207,1022.667,2405.333
17_009_Gm,13,0,165,165,165,3437,1936
17_009_Gm,14,0,150,150,150,2819.667,1531.667
17_009_Gm,15,0,146,146,146,3554.25,1502.75
17_010_Gm,1,0,95,95,95,655.333,2180
17_010_Gm,2,0,82,82,82,858,2301.333
17_010_Gm,3,0,28,28,28,980.333,2173.333
17_010_Gm,4,0,55,55,55,1559.333,2352
17_010_Gm,5,0,42,42,42,1677,2101
17_010_Gm,6,0,46,46,46,2134.5,2153
17_010_Gm,7,0,55,55,55,2812,2243.333
17_010_Gm,8,0,54,54,54,3344.667,2310.667
17_010_Gm,9,0,72,72,72,3366.5,2494.5
17_010_Gm,10,0,96,96,96,2885.333,2606
17_010_Gm,11,0,80,80,80,2225.5,2754
17_010_Gm,12,0,120,120,120,1469.333,2720.667
17_010_Gm,13,0,86,86,86,3802,2371
17_010_Gm,14,0,163,163,163,2937.333,1694
17_010_Gm,15,0,158,158,158,3645.333,1693.333
17_011_Gm,1,0,84,84,84,62,2219.333
17_011_Gm,2,0,89,89,89,371.333,2293.333
17_011_Gm,3,0,37,37,37,394.667,2023.333
17_011_Gm,4,0,88,88,88,1028.667,2131.333
17_011_Gm,5,0,63,63,63,1229.5,1694
17_011_Gm,6,0,73,73,73,1796,1716.5
17_011_Gm,7,0,91,91,91,2667,1779
17_011_Gm,8,0,98,98,98,3221.5,1905.5
17_011_Gm,9,0,81,81,81,3244.5,2126.5
17_011_Gm,10,0,127,127,127,2776,2227.667
17_011_Gm,11,0,124,124,124,2063,2514
17_011_Gm,12,0,128,128,128,936,2550
17_011_Gm,13,0,146,146,146,3757,2043
17_011_Gm,14,0,126,126,126,2965.5,1518
17_011_Gm,15,0,135,135,135,3598,1474.333
17_012_Gm,1,0,93,93,93,516.667,2173.667
17_012_Gm,2,0,83,83,83,747.333,2205.667
17_012_Gm,3,0,28,28,28,779.333,2042.333
17_012_Gm,4,0,74,74,74,1291,2066
17_012_Gm,5,0,99,99,99,1416.5,1779
17_012_Gm,6,0,62,62,62,1830.5,1792
17_012_Gm,7,0,93,93,93,2529.333,1924.667
17_012_Gm,8,0,62,62,62,3023.5,2120
17_012_Gm,9,0,75,75,75,2998,2287
17_012_Gm,10,0,78,78,78,2568.5,2288.5
17_012_Gm,11,0,130,130,130,1948,2371.5
17_012_Gm,12,0,115,115,115,1243.333,2352.333
17_012_Gm,13,0,92,92,92,3442,2325
17_012_Gm,14,0,160,160,160,2835.5,1528.5
17_012_Gm,15,0,127,127,127,3539.25,1510.25
17_013_Gm,1,0,80,80,80,20,2307
17_013_Gm,2,0,106,106,106,350,2376
17_013_Gm,3,0,76,76,76,406,2137
17_013_Gm,4,0,84,84,84,1128,2183
17_013_Gm,5,0,79,79,79,1293,1710
17_013_Gm,6,0,62,62,62,1905,1746
17_013_Gm,7,0,82,82,82,2776,1847
17_013_Gm,8,0,66,66,66,3330.333,1944.667
17_013_Gm,9,0,89,89,89,3376,2169
17_013_Gm,10,0,95,95,95,2869,2306
17_013_Gm,11,0,54,54,54,1984.667,2495
17_013_Gm,12,0,140,140,140,1091.5,2545.5
17_013_Gm,13,0,78,78,78,3925.333,2026.333
17_013_Gm,14,0,163,163,163,3336,1574
17_013_Gm,15,0,142,142,142,4048.25,1570.5
17_014_Gm,1,0,255,255,255,260,2008.667
17_014_Gm,2,0,101,101,101,563.667,2156
17_014_Gm,3,0,255,255,255,574.333,1918.667
17_014_Gm,4,0,65,65,65,1319,2010
17_014_Gm,5,0,69,69,69,1431,1447
17_014_Gm,6,0,69,69,69,2081.667,1422
17_014_Gm,7,0,117,117,117,3163,1545
17_014_Gm,8,0,70,70,70,3846,1756.333
17_014_Gm,9,0,77,77,77,3819.333,2009.667
17_014_Gm,10,0,152,152,152,3238,2030.5
17_014_Gm,11,0,171,171,171,2315,2258
17_014_Gm,12,0,149,149,149,1277.5,2347.5
17_014_Gm,13,0,140,140,140,4426.667,1980.333
17_014_Gm,14,0,104,104,104,3419.333,1349.333
17_014_Gm,15,0,83,83,83,4117.25,1321.75
17_015_Gm,1,0,59,59,59,330,2245
17_015_Gm,2,0,74,74,74,605,2363
17_015_Gm,3,0,27,27,27,639,2131
17_015_Gm,4,0,90,90,90,1239,2244.667
17_015_Gm,5,0,65,65,65,1439,1821.667
17_015_Gm,6,0,40,40,40,1924.5,1869.5
17_015_Gm,7,0,63,63,63,2715,2015.5
17_015_Gm,8,0,66,66,66,3282.5,2145
17_015_Gm,9,0,103,103,103,3289,2364.667
17_015_Gm,10,0,123,123,123,2792,2441.5
17_015_Gm,11,0,92,92,92,2056.667,2641
17_015_Gm,12,0,181,181,181,1101,2564.667
17_015_Gm,13,0,70,70,70,3758,2270
17_015_Gm,14,0,158,158,158,3410.667,1546.667
17_015_Gm,15,0,168,168,168,4120,1504
17_016_Gm,1,0,66,66,66,734,2172
17_016_Gm,2,0,106,106,106,1036,2273
17_016_Gm,3,0,23,23,23,1023,2062
17_016_Gm,4,0,54,54,54,1593,2102
17_016_Gm,5,0,65,65,65,1718.667,1659.333
17_016_Gm,6,0,33,33,33,2238,1648
17_016_Gm,7,0,55,55,55,3070.333,1731.667
17_016_Gm,8,0,70,70,70,3608,1830.5
17_016_Gm,9,0,77,77,77,3638.667,2031.333
17_016_Gm,10,0,99,99,99,3153.333,2130
17_016_Gm,11,0,132,132,132,2416,2355.667
17_016_Gm,12,0,171,171,171,1563.5,2433
17_016_Gm,13,0,99,99,99,4104.333,1910
17_016_Gm,14,0,130,130,130,3643.667,1565
17_016_Gm,15,0,171,171,171,4321.667,1563.333
17_017_Gm,1,0,95,95,95,554.667,2005.333
17_017_Gm,2,0,102,102,102,886.667,2088
17_017_Gm,3,0,24,24,24,932,1845.333
17_017_Gm,4,0,99,99,99,1630.333,1986
17_017_Gm,5,0,67,67,67,1772.667,1588
17_017_Gm,6,0,91,91,91,2403.333,1675.333
17_017_Gm,7,0,64,64,64,3236.333,1910.667
17_017_Gm,8,0,69,69,69,3784,2012
17_017_Gm,9,0,118,118,118,3829,2224
17_017_Gm,10,0,115,115,115,3286.333,2350.667
17_017_Gm,11,0,121,121,121,2478,2481
17_017_Gm,12,0,138,138,138,1510.667,2346
17_017_Gm,13,0,50,50,50,4358.667,2014
17_017_Gm,14,0,122,122,122,3052.75,1524
17_017_Gm,15,0,53,53,53,3666.333,1525.5
17_018_Gm,1,0,89,89,89,782,2410
17_018_Gm,2,0,120,120,120,1011.333,2492
17_018_Gm,3,0,48,48,48,1033.333,2330.667
17_018_Gm,4,0,60,60,60,1489.5,2380
17_018_Gm,5,0,83,83,83,1564,2084.5
17_018_Gm,6,0,34,34,34,1997.5,2123.5
17_018_Gm,7,0,59,59,59,2560.5,2264
17_018_Gm,8,0,52,52,52,3023,2346
17_018_Gm,9,0,112,112,112,3075,2507
17_018_Gm,10,0,99,99,99,2637,2595
17_018_Gm,11,0,108,108,108,1984.5,2640
17_018_Gm,12,0,209,209,209,1408.5,2616
17_018_Gm,13,0,79,79,79,3449,2355
17_018_Gm,14,0,163,163,163,3454.333,1808.667
17_018_Gm,15,0,116,116,116,4131.5,1777.167
17_019_Gm,1,0,102,102,102,566,2158
17_019_Gm,2,0,127,127,127,883,2266
17_019_Gm,3,0,71,71,71,890,2042
17_019_Gm,4,0,79,79,79,1551,2147.667
17_019_Gm,5,0,60,60,60,1681.333,1721.667
17_019_Gm,6,0,116,116,116,2174,1772
17_019_Gm,7,0,44,44,44,2942,1899
17_019_Gm,8,0,35,35,35,3575,1982
17_019_Gm,9,0,107,107,107,3593,2183.333
17_019_Gm,10,0,112,112,112,3089.333,2295
17_019_Gm,11,0,87,87,87,2314.333,2471.667
17_019_Gm,12,0,203,203,203,1445.333,2460.333
17_019_Gm,13,0,86,86,86,4121.333,2104.667
17_019_Gm,14,0,160,160,160,3403.5,1621
17_019_Gm,15,0,105,105,105,4064.5,1628.5
17_020_Gm,1,0,89,89,89,879.333,2133
17_020_Gm,2,0,124,124,124,1175.333,2232.333
17_020_Gm,3,0,65,65,65,1193,2023
17_020_Gm,4,0,69,69,69,1769,2081.333
17_020_Gm,5,0,125,125,125,1825.5,1749.5
17_020_Gm,6,0,43,43,43,2297,1796
17_020_Gm,7,0,35,35,35,3023,1922.5
17_020_Gm,8,0,65,65,65,3524.5,2043.5
17_020_Gm,9,0,126,126,126,3502,2215.667
17_020_Gm,10,0,115,115,115,3072.5,2283
17_020_Gm,11,0,153,153,153,2403,2426.333
17_020_Gm,12,0,199,199,199,1641,2391
17_020_Gm,13,0,86,86,86,3981,2233
17_020_Gm,14,0,127,127,127,3518,1626.25
17_020_Gm,15,0,146,146,146,4131.75,1637
17_021_Gm,1,0,172,172,172,3045.333,2117.333
17_021_Gm,2,0,109,109,109,2819.333,2229.333
17_021_Gm,3,0,40,40,40,2764,2030
17_021_Gm,4,0,56,56,56,2243,2149.5
17_021_Gm,5,0,103,103,103,2122,1811.667
17_021_Gm,6,0,45,45,45,1685,1877
17_021_Gm,7,0,45,45,45,1010.5,2064.5
17_021_Gm,8,0,55,55,55,501,2195
17_021_Gm,9,0,118,118,118,501,2381
17_021_Gm,10,0,145,145,145,963,2435
17_021_Gm,11,0,165,165,165,1593,2534
17_021_Gm,12,0,166,166,166,2307.5,2466
17_021_Gm,13,0,77,77,77,36,2295
17_021_Gm,14,0,117,117,117,2134,1509
17_021_Gm,15,0,137,137,137,2749.333,1535.5
17_022_Gm,1,0,109,109,109,2880,2225.333
17_022_Gm,2,0,69,69,69,2646.667,2303.333
17_022_Gm,3,0,32,32,32,2634,2132.333
17_022_Gm,4,0,73,73,73,2210,2217.667
