FISHID,TOWID,PERIOD,TOWDATE,STRAT,LAT,LON,SEASON,SEX,MATURITY,LENGTH,OTO_WT,A1,A2,AGE
2665_350_5,2665_350,IBS1,11/29/06,IBAY,42.24901667,-70.65303333,WINTER,F,R,51,0.2927,2.77,4.03,3
2665_354_2,2665_354,IBS1,12/07/06,CME,42.20957167,-70.27139667,WINTER,M,R,65,0.4239,3.34,5.14,3
2665_354_6,2665_354,IBS1,12/07/06,WME,42.20957167,-70.27139667,WINTER,M,R,52,0.3424,2.6,4.49,3
2665_354_60,2665_354,IBS1,12/07/06,JEFF,42.20957167,-70.27139667,WINTER,F,R,72,0.8231,4.58,5.66,7
2665_357_7,2665_357,IBS1,12/07/06,IBAY,42.22459167,-70.31401833,WINTER,M,R,63,0.5117,2.58,5.71,3
2665_368_34,2665_368,IBS1,11/29/06,MBAY,42.13665,-70.57063333,WINTER,F,R,56,0.4135,3.35,5.41,3
2665_368_38,2665_368,IBS1,11/29/06,MBAY,42.13665,-70.57063333,WINTER,M,R,47,0.2354,2.63,4.68,2
2665_368_43,2665_368,IBS1,11/29/06,MBAY,42.13665,-70.57063333,WINTER,M,U,90,0.8619,3.67,5.15,8
2665_373_9,2665_373,IBS1,12/06/06,JEFF,42.08990667,-70.434645,WINTER,M,R,45,0.3496,3.21,5.1,3
2665_374_23,2665_374,IBS1,11/20/06,WGOM,42.09111167,-70.270585,WINTER,M,R,63,0.3616,2.06,4.87,3
2665_375_1,2665_375,IBS1,12/17/06,JEFF,42.091515,-69.98384,WINTER,M,R,41,0.2157,2.45,4.71,2
2665_376_16,2665_376,IBS1,12/30/06,IBAY,42.0892,-70.53166667,WINTER,M,R,56,0.3676,2.81,4.59,3
2665_382_1,2665_382,IBS1,11/26/06,JEFF,41.99175333,-70.55356667,WINTER,F,R,56,0.3581,2.32,4.45,3
2665_385_2,2665_385,IBS1,12/17/06,STELL,41.96408833,-69.96080833,WINTER,F,R,58,0.4718,3.42,5.11,4
2665_385_4,2665_385,IBS1,12/17/06,STELL,41.96408833,-69.96080833,WINTER,M,R,61,0.4053,2.23,4.32,3
2665_406_1,2665_406,IBS1,12/18/06,JEFF,41.91991667,-69.68606833,WINTER,F,R,69,0.4485,3.65,5.65,3
2761_158_1,2761_158,IBS1,01/25/07,OFF,43.47695,-70.06923333,WINTER,F,R,50,0.3092,2.42,4.04,4
2761_159_3,2761_159,IBS1,01/25/07,WME,43.47995,-70.0271,WINTER,M,U,69,0.5971,3.32,5,6
2761_167_1,2761_167,IBS1,01/13/07,WME,43.4356,-70.29001667,WINTER,M,U,57,0.3339,3.09,4.56,5
2761_167_2,2761_167,IBS1,01/13/07,WME,43.4356,-70.29001667,WINTER,M,U,55,0.3772,2.44,4.53,4
2761_167_3,2761_167,IBS1,01/13/07,WME,43.4356,-70.29001667,WINTER,M,U,64,0.5194,2.66,4.66,5
2761_168_2,2761_168,IBS1,01/13/07,WME,43.4343,-70.09446667,WINTER,M,U,54,0.3372,2.89,5.16,4
