"","SampleID","Age_SideA","A1","birthYear","RFOtoSpring","RFOtoWinter","RFOtoAssign","LD1","LDASpring","LDAWinter","LDAAssign"
"40","17_284_Gm",3,3.065,2014,0.04,0.96,"WINTER",0.130427205920064,0.104694382952192,0.895305617047808,"WINTER"
"43","17_287_Gm",3,2.804,2014,0,1,"WINTER",-0.295091553394144,0.0825970346904742,0.917402965309526,"WINTER"
"48","17_292_Gm",3,2.9025,2014,0,1,"WINTER",-0.134503056105065,0.0903883851907714,0.909611614809229,"WINTER"
"54","17_298_Gm",3,3.187,2014,0.04,0.96,"WINTER",0.329328694948161,0.116715525994015,0.883284474005985,"WINTER"
"60","17_305_Gm",3,3.572,2014,0.12,0.88,"WINTER",0.957009623438466,0.162704827373369,0.837295172626631,"WINTER"
"64","17_309_Gm",3,2.5425,2014,0,1,"WINTER",-0.721425482745351,0.0647956086265712,0.935204391373429,"WINTER"
"67","17_313_Gm",3,3.139,2014,0.04,0.96,"WINTER",0.251072371396123,0.111849089788582,0.888150910211418,"WINTER"
"69","17_324_Gm",3,3.115,2014,0.04,0.96,"WINTER",0.211944209620104,0.10948300929231,0.89051699070769,"WINTER"
"70","17_325_Gm",3,2.583,2014,0,1,"WINTER",-0.655396709748318,0.0672978938706545,0.932702106129346,"WINTER"
"32","17_009_Gm",2,2.381,2015,0,1,"WINTER",1.69368909969922,0.0164127612245914,0.983587238775408,"WINTER"
"34","17_025_Gm",2,2.421,2015,0,1,"WINTER",2.0977501175201,0.00826829138828014,0.99173170861172,"WINTER"
"38","17_153_Gm",2,2.576,2015,0,1,"WINTER",3.66348656157603,0.000566311253281092,0.999433688746719,"WINTER"
"68","17_314_Gm",2,2.843,2015,0,1,"WINTER",6.36059385553044,5.51831270837775e-06,0.999994481687292,"WINTER"
